sentence,tar_sentence,entity,entity_tag,entity_pos_start_rel,entity_pos_end_rel,label
"27 октября боевики «Талибана» совершили нападение на американскую базу в Кандагаре, убив переводчика-афганца.","27 октября [TAR]боевики «Талибана[TAR]» совершили нападение на американскую базу в Кандагаре, убив переводчика-афганца.",боевики «Талибана,PROFESSION,11,28,0
"С 1931 года Самбук работает в Институте оленеводства ВАСХНИЛ, совмещая эту работу с работой в Ботаническом институте.","С 1931 года [TAR]Самбук[TAR] работает в Институте оленеводства ВАСХНИЛ, совмещая эту работу с работой в Ботаническом институте.",Самбук,PERSON,12,18,1
"«У приложения 110 миллионов загрузок только в США, TikTok представляет собой потенциальную угрозу контрразведки, которую мы не можем игнорировать.»","«У приложения 110 миллионов загрузок только в [TAR]США[TAR], TikTok представляет собой потенциальную угрозу контрразведки, которую мы не можем игнорировать.»",США,COUNTRY,46,49,1
Apple и Samsung нарушали патенты друг друга,Apple и [TAR]Samsung[TAR] нарушали патенты друг друга,Samsung,ORGANIZATION,8,15,0
"Обложку для альбома нарисовал Кайл Ламберт, художник-иллюстратор.","Обложку для альбома нарисовал [TAR]Кайл Ламберт[TAR], художник-иллюстратор.",Кайл Ламберт,PERSON,30,42,1
"Тем не менее, в пятницу, 8 сентября 2017 года, стартовала мировая премьера фильма Андресса Мускетти (Andrés Muschietti).","Тем не менее, в пятницу, 8 сентября 2017 года, стартовала мировая премьера фильма [TAR]Андресса Мускетти[TAR] (Andrés Muschietti).",Андресса Мускетти,PERSON,82,99,1
"Обвинение в убийстве Политковской предъявлено чеченцу Рустаму Махмудову, а его брат, дядя и бывший сотрудник правоохранительных органов обвиняются в причастности к ее смерти.","Обвинение в убийстве Политковской предъявлено чеченцу [TAR]Рустаму Махмудову[TAR], а его брат, дядя и бывший сотрудник правоохранительных органов обвиняются в причастности к ее смерти.",Рустаму Махмудову,PERSON,54,71,0
"Праздничные торжества начались на Горе Герцеля в Иерусалиме, где собрались многие видные израильские общественные и политические деятели, такие как президент Израиля Шимон Перес и премьер-министр Израиля Биньямин Нетаньяху, также участие в траурной церемонии приняли министры и депутаты кнессета.","Праздничные торжества начались на Горе Герцеля в Иерусалиме, где собрались многие видные израильские общественные и политические деятели, такие как президент Израиля Шимон Перес и [TAR]премьер-министр Израиля[TAR] Биньямин Нетаньяху, также участие в траурной церемонии приняли министры и депутаты кнессета.",премьер-министр Израиля,PROFESSION,180,203,1
Однако сразу же после критики в адрес Беларуси последовали санкции.,Однако сразу же после критики в адрес [TAR]Беларуси[TAR] последовали санкции.,Беларуси,COUNTRY,38,46,0
Их обвиняют в избиении протестующих во время визита Эрдогана в столицу США в прошлом месяце.,Их обвиняют в избиении протестующих во время визита [TAR]Эрдогана[TAR] в столицу США в прошлом месяце.,Эрдогана,PERSON,52,60,1
"Никто не заинтересован в мирном решении больше, чем президент Трамп.","Никто не заинтересован в мирном решении больше, чем [TAR]президент[TAR] Трамп.",президент,PROFESSION,52,61,1
"В понедельник Стефан сообщил, что ищет кладбище уже за пределами Массачусетса, и выразил сомнение, что Россия согласится принять тело Тамерлана.","В понедельник Стефан сообщил, что ищет кладбище уже за пределами Массачусетса, и выразил сомнение, что Россия согласится принять тело [TAR]Тамерлана[TAR].",Тамерлана,PERSON,134,143,0
"МТБЮ выдвигает обвинения как против Младича, так и против его бывшего союзника — бывшего политического лидера боснийских сербов Радована Караджича.","МТБЮ выдвигает обвинения как против Младича, так и против его бывшего союзника — бывшего политического лидера боснийских [TAR]сербов[TAR] Радована Караджича.",сербов,NATIONALITY,121,127,1
"Анна Политковская была убита выстрелами в грудь, голову и плечо 7 октября 2006 года а Москве.","[TAR]Анна Политковская[TAR] была убита выстрелами в грудь, голову и плечо 7 октября 2006 года а Москве.",Анна Политковская,PERSON,0,17,1
"Лауреатами в области физики стали бельгийский учёный Франсуа Энглер и британский профессор Питер Хиггс «за теоретическое открытие механизма, который позволяет лучше понять возникновение массы субатомных частиц».","Лауреатами в области физики стали [TAR]бельгийский[TAR] учёный Франсуа Энглер и британский профессор Питер Хиггс «за теоретическое открытие механизма, который позволяет лучше понять возникновение массы субатомных частиц».",бельгийский,NATIONALITY,34,45,1
"Свергнутый президент Египта и бывший лидер исламистской организации «Братья мусульмане» Мухаммед Мурси скончался в зале суда в Каире в понедельник, 17 июня 2019 года, во время слушания его дела о причастности к шпионажу.","Свергнутый президент Египта и бывший [TAR]лидер исламистской организации «Братья мусульмане[TAR]» Мухаммед Мурси скончался в зале суда в Каире в понедельник, 17 июня 2019 года, во время слушания его дела о причастности к шпионажу.",лидер исламистской организации «Братья мусульмане,PROFESSION,37,86,1
"Новый глава Скотленд-Ярда будет приведена к присяге перед королевой, ей полагается оклад в размере 270 тысяч фунтов в год (без учёта премий).","Новый глава Скотленд-Ярда будет приведена к присяге перед [TAR]королевой[TAR], ей полагается оклад в размере 270 тысяч фунтов в год (без учёта премий).",королевой,PROFESSION,58,67,1
"Акция в поддержку журналиста Ивана Голунова, которому правоохранительные органы России подбросили наркотики и пытались сфабриковать уголовное дело, состоялась 12 июня 2019 года, несмотря на признание властями преступления со стороны полицейских и снятия с журналиста всех обвинений.","Акция в поддержку журналиста Ивана Голунова, которому правоохранительные органы России подбросили наркотики и пытались сфабриковать уголовное дело, состоялась 12 июня 2019 года, несмотря на признание властями преступления со стороны полицейских и снятия с [TAR]журналиста[TAR] всех обвинений.",журналиста,PROFESSION,256,266,1
"В Венесуэла|Венесуэле 7 октября 2012 года проходят Президентские выборы в Венесуэле (2012)|президентские выборы, которые, по мнению аналитиков, станут самыми напряженными за всю политическую карьеру действующего лидера страны Чавес, Уго|Уго Чавеса, пробывшего у власти почти 14 лет.","В Венесуэла|Венесуэле 7 октября 2012 года проходят Президентские выборы в Венесуэле (2012)|президентские выборы, которые, по мнению аналитиков, станут самыми напряженными за всю политическую карьеру действующего лидера страны Чавес, Уго|[TAR]Уго Чавеса[TAR], пробывшего у власти почти 14 лет.",Уго Чавеса,PERSON,237,247,1
"Россия заявила, что пойдет на ответные меры в случае любых санкций.","[TAR]Россия[TAR] заявила, что пойдет на ответные меры в случае любых санкций.",Россия,COUNTRY,0,6,0
"Более 50 тысяч турецких граждан потеряли работу в связи с попыткой переворота, в организации которого правительство обвинило исламского проповедника Фетхуллу Гюлена.","Более 50 тысяч турецких граждан потеряли работу в связи с попыткой переворота, в организации которого правительство обвинило исламского проповедника [TAR]Фетхуллу Гюлена[TAR].",Фетхуллу Гюлена,PERSON,149,164,0
"В частности Винник признался в отмывании денежных средств и иного имущества, приобретенного другими лицами преступным путём, в особо крупном размере, и осуществлении мошеннической деятельности с использованием имеющегося у него доступа к криптовалютной бирже BTC-e.","В частности Винник признался в отмывании денежных средств и иного имущества, приобретенного другими лицами преступным путём, в особо крупном размере, и осуществлении мошеннической деятельности с использованием имеющегося у него доступа к криптовалютной бирже [TAR]BTC-e[TAR].",BTC-e,ORGANIZATION,259,264,1
"Нужно сказать, что занявший второе место испанец Давид Херреро из местной испанской команды Хасобео Галисиа, настолько был поглощён погоней и желанием стать победителем этапа, что на одном из поворотов не вписался в него и чудом затормозил перед ограждением дороги.","Нужно сказать, что занявший второе место испанец Давид Херреро из местной [TAR]испанской[TAR] команды Хасобео Галисиа, настолько был поглощён погоней и желанием стать победителем этапа, что на одном из поворотов не вписался в него и чудом затормозил перед ограждением дороги.",испанской,COUNTRY,74,83,1
"Газета Global Times цитирует недовольных приговором китайцев, которые критиковали судебную систему США и не советовали учить детей в Америке.","Газета [TAR]Global Times[TAR] цитирует недовольных приговором китайцев, которые критиковали судебную систему США и не советовали учить детей в Америке.",Global Times,ORGANIZATION,7,19,1
"На 3 декабря, по данным Федерации Спортивного Кикера, в составе сборной уже было тринадцать человек, но остановлюсь немного подробнее на двоих из них, участвующих в категории Disabled: Косоруковой Александре и Рябчиковом Антоне.","На 3 декабря, по данным Федерации Спортивного Кикера, в составе сборной уже было тринадцать человек, но остановлюсь немного подробнее на двоих из них, участвующих в категории Disabled: Косоруковой Александре и [TAR]Рябчиковом Антоне[TAR].",Рябчиковом Антоне,PERSON,210,227,2
"Как написал Шмидт в недавней колонке в журнале Harvard Business Review, в 2011 году Google обратит пристальное внимание на мобильный рынок.","Как написал Шмидт в недавней колонке в журнале Harvard Business Review, в 2011 году [TAR]Google[TAR] обратит пристальное внимание на мобильный рынок.",Google,ORGANIZATION,84,90,1
"В средствах массовой информации Германии прокручиваются видеоролики, на которых выступает террорист марроканского происхождения Беккай Харрах, имеющий немецкое граджанство и на чистом немецком языке говорящий о том, что если Германии в течение двух недель не выведет воинские подразделения из Афганистана, то страна погрузится во мрак тероористический акций.","В средствах массовой информации Германии прокручиваются видеоролики, на которых выступает террорист марроканского происхождения Беккай Харрах, имеющий [TAR]немецкое[TAR] граджанство и на чистом немецком языке говорящий о том, что если Германии в течение двух недель не выведет воинские подразделения из Афганистана, то страна погрузится во мрак тероористический акций.",немецкое,COUNTRY,151,159,1
"Обе стороны также вновь призвали Россию вывести свои войска из грузинских регионов Абхазии и Южной Осетии в соответствии с соглашением о прекращении огня, заключенным в 2008 году.","Обе стороны также вновь призвали Россию вывести свои войска из [TAR]грузинских[TAR] регионов Абхазии и Южной Осетии в соответствии с соглашением о прекращении огня, заключенным в 2008 году.",грузинских,COUNTRY,63,73,1
"Лауреатов в категориях «Артист года», «Лучший автор песен» и «Прорыв года» определяет команда редакторов Apple Music, в которую входят музыкальные критики и знаменитости.","Лауреатов в категориях «Артист года», «Лучший автор песен» и «Прорыв года» определяет команда редакторов Apple Music, в которую входят [TAR]музыкальные критики[TAR] и знаменитости.",музыкальные критики,PROFESSION,135,154,1
Сценаристом эпизода является исполнительный продюсер и шоураннер Стивен Моффат.,Сценаристом эпизода является исполнительный продюсер и [TAR]шоураннер[TAR] Стивен Моффат.,шоураннер,PROFESSION,55,64,1
"Как сообщил судья округа Галвестон Марк Хенри, в числе пострадавших — офицер полиции, прибывший на место происшествия.","Как сообщил судья округа Галвестон Марк Хенри, в числе пострадавших — [TAR]офицер полиции[TAR], прибывший на место происшествия.",офицер полиции,PROFESSION,70,84,1
"Ранее удары по Сирии осудили Россия, Китай и Иран.","Ранее удары по [TAR]Сирии[TAR] осудили Россия, Китай и Иран.",Сирии,COUNTRY,15,20,1
"Во время полёта «Дискавери», Хокинг выразил благодарность Селлерсу и остальным членам экипажа за их благородный жест.","Во время полёта «Дискавери», Хокинг выразил благодарность [TAR]Селлерсу[TAR] и остальным членам экипажа за их благородный жест.",Селлерсу,PERSON,58,66,2
"Фильм снят по книге Эндрю Ходжеса «Алан Тьюринг: Энигма» и описывает жизнь и работу знаменитого английского математика Алана Тьюринга, который помог взломать код немецкой шифровальной машины Энигма во время Второй мировой войны.","Фильм снят по книге Эндрю Ходжеса «Алан Тьюринг: Энигма» и описывает жизнь и работу знаменитого английского математика Алана Тьюринга, который помог взломать код [TAR]немецкой[TAR] шифровальной машины Энигма во время Второй мировой войны.",немецкой,COUNTRY,162,170,1
"В Новой Зеландии хотят знать, почему австралийцы живут лучше нихслева|Джон Ки, — премьер-министр Н. Зеландии","В Новой Зеландии хотят знать, почему австралийцы живут лучше нихслева|[TAR]Джон Ки[TAR], — премьер-министр Н. Зеландии",Джон Ки,PERSON,70,77,1
"В воскресенье, 12 августа 2018, в Санкт-Петербурге по адресу Малая Невка, дом 25, в рамках гражданской инициативы «Последний адрес» состоялась церемония установки мемориального знака трагически погибшему в период сталинских репрессий российскому учёному, ботанику Феодосию Викторовичу Самбуку, чьё дело было полностью сфальсифицировано сотрудниками НКВД СССР.","В воскресенье, 12 августа 2018, в Санкт-Петербурге по адресу Малая Невка, дом 25, в рамках гражданской инициативы «Последний адрес» состоялась церемония установки мемориального знака трагически погибшему в период сталинских репрессий [TAR]российскому[TAR] учёному, ботанику Феодосию Викторовичу Самбуку, чьё дело было полностью сфальсифицировано сотрудниками НКВД СССР.",российскому,COUNTRY,234,245,1
"Выждав удобный момент, они открывают огонь по сослуживцам или по военнослужащим и гражданскому персоналу НАТО.","Выждав удобный момент, они открывают огонь по сослуживцам или по [TAR]военнослужащим[TAR] и гражданскому персоналу НАТО.",военнослужащим,PROFESSION,65,79,0
"Мать одного из подозреваемых, Нора Донда рассказала СМИ, что ее сын и его друг, который живет поблизости с отцом и бабушкой, это обычные студенты, которые весь день учатся в университете и только по выходным сидят перед компьютерами.","Мать одного из подозреваемых, Нора Донда рассказала СМИ, что ее сын и его друг, который живет поблизости с отцом и бабушкой, это обычные [TAR]студенты[TAR], которые весь день учатся в университете и только по выходным сидят перед компьютерами.",студенты,PROFESSION,137,145,2
"Президент Турции Реджеп Тайип Эрдоган, который поддерживал хорошие отношения с Мурси, выразил соболезнования: «Пусть Господь утешит душу нашего брата Мурси, нашего мученика».","Президент Турции Реджеп Тайип Эрдоган, который поддерживал хорошие отношения с [TAR]Мурси[TAR], выразил соболезнования: «Пусть Господь утешит душу нашего брата Мурси, нашего мученика».",Мурси,PERSON,79,84,2
Маргарет Тэтчер на похоронах Рональда Рейгана 11 июня 2004 года,[TAR]Маргарет Тэтчер[TAR] на похоронах Рональда Рейгана 11 июня 2004 года,Маргарет Тэтчер,PERSON,0,15,1
"Как отмечает Bloomberg, Лилиан Беттанкур жила в пригороде Парижа Нёйи-сюр-Сен.","Как отмечает [TAR]Bloomberg[TAR], Лилиан Беттанкур жила в пригороде Парижа Нёйи-сюр-Сен.",Bloomberg,ORGANIZATION,13,22,1
"Споры о уровне комиссий между крупными американскими ритейлерами, в том числе Walmart, Amazon, Best Buy и Target, а также платёжными системами — Visa и MasterCard продолжается уже почти 10 лет.","Споры о уровне комиссий между крупными [TAR]американскими[TAR] ритейлерами, в том числе Walmart, Amazon, Best Buy и Target, а также платёжными системами — Visa и MasterCard продолжается уже почти 10 лет.",американскими,COUNTRY,39,52,1
В течение жизни он отдал на благотворительность почти 2 миллиарда долларов США.,В течение жизни он отдал на благотворительность почти 2 миллиарда долларов [TAR]США[TAR].,США,COUNTRY,75,78,1
"После войны она вышла замуж за филиппинского журналиста Вениньо С. Акино младшего, который после избрания Маркоса президентом в 1965 году стал лидером оппозиции.","После войны она вышла замуж за филиппинского журналиста Вениньо С. Акино младшего, который после избрания Маркоса [TAR]президентом[TAR] в 1965 году стал лидером оппозиции.",президентом,PROFESSION,114,125,1
Владимир Машков на Первом Одесском международном кинофестивале,[TAR]Владимир Машков[TAR] на Первом Одесском международном кинофестивале,Владимир Машков,PERSON,0,15,1
Осенью 2015 года он по рекомендации вербовщика отправился в Сирию (по другим данным — в Ливию).,Осенью 2015 года он по рекомендации вербовщика отправился в [TAR]Сирию[TAR] (по другим данным — в Ливию).,Сирию,COUNTRY,60,65,1
Теперь до конца сезона главным тренером «Спартака» будет Валерий Карпин.,Теперь до конца сезона [TAR]главным тренером «Спартака[TAR]» будет Валерий Карпин.,главным тренером «Спартака,PROFESSION,23,49,1
Замечание пресс-секретаря прозвучало важно ещё и в разрезе достигшего вчера пика конфликта между Владиславом Сурковым и представителя Следственного комитета России Владимира Маркина.,Замечание пресс-секретаря прозвучало важно ещё и в разрезе достигшего вчера пика конфликта между [TAR]Владиславом Сурковым[TAR] и представителя Следственного комитета России Владимира Маркина.,Владиславом Сурковым,PERSON,97,117,0
"По информации The Times, он являлся высокооплачиваемым и особо ценным агентом службы внешней разведки Великобритании MI6.","По информации The Times, он являлся высокооплачиваемым и особо ценным [TAR]агентом службы внешней разведки Великобритании MI6[TAR].",агентом службы внешней разведки Великобритании MI6,PROFESSION,70,120,1
"При этом он был вторым в США преступником, при чьей смертной казни применялся только пентобарбитал, обычно применяемый в хирургии для достижения общего наркоза.","При этом он был вторым в [TAR]США[TAR] преступником, при чьей смертной казни применялся только пентобарбитал, обычно применяемый в хирургии для достижения общего наркоза.",США,COUNTRY,25,28,1
"Однако, приговоры могут вынудить Берлускони окончательно покинуть политику.","Однако, приговоры могут вынудить [TAR]Берлускони[TAR] окончательно покинуть политику.",Берлускони,PERSON,33,43,1
18 апреля 2020 года Венгерский национальный банк объявил открытый конкурс на разработку проектов памятных монет.,18 апреля 2020 года [TAR]Венгерский[TAR] национальный банк объявил открытый конкурс на разработку проектов памятных монет.,Венгерский,COUNTRY,20,30,1
"После бегства из Украины Виктора Януковича Кернес стал одним из лидеров «Украинского фронта», заявлявшего о необходимости наведения порядка в стране.","После бегства из Украины [TAR]Виктора Януковича[TAR] Кернес стал одним из лидеров «Украинского фронта», заявлявшего о необходимости наведения порядка в стране.",Виктора Януковича,PERSON,25,42,1
"Однако в письме в поддержку Пекина, напротив, говорится о «выдающихся достижениях Китая в сфере защиты прав человека».","Однако в письме в поддержку Пекина, напротив, говорится о «выдающихся достижениях [TAR]Китая[TAR] в сфере защиты прав человека».",Китая,COUNTRY,82,87,2
"Эйсебио родился в 1942 году на территории современного Мозамбика, входившего тогда в число колониальных владений Португалии.","[TAR]Эйсебио[TAR] родился в 1942 году на территории современного Мозамбика, входившего тогда в число колониальных владений Португалии.",Эйсебио,PERSON,0,7,1
Совместно с Тамарой Владимирцевой Панин выступил режиссёром сериала «Полный вперед!» и фильма «Внук Гагарина».,Совместно с [TAR]Тамарой Владимирцевой[TAR] Панин выступил режиссёром сериала «Полный вперед!» и фильма «Внук Гагарина».,Тамарой Владимирцевой,PERSON,12,33,1
"Соглашение обязывает боевиков Талибана не нападать на иностранные силы под командованием США, которые обязались постепенно выйти из Афганистана к июлю 2021 года в обмен на гарантии, данные талибами.","Соглашение обязывает боевиков Талибана не нападать на иностранные силы под командованием США, которые обязались постепенно выйти из Афганистана к июлю 2021 года в обмен на гарантии, данные [TAR]талибами[TAR].",талибами,ORGANIZATION,189,197,1
"Диск, который был подписан Ленноном по просьбе Марка Чепмена, стал ключевой уликой при расследовании обстоятельств гибели музыканта в 1980 году.","Диск, который был подписан Ленноном по просьбе Марка Чепмена, стал ключевой уликой при расследовании обстоятельств гибели [TAR]музыканта[TAR] в 1980 году.",музыканта,PROFESSION,122,131,1
Эти посты согласно пакетным договоренностям были «забронированы» за бывшим вице-премьером Александром Жуковым («Единая Россия») и Иваном Мельниковым (КПРФ).,Эти посты согласно пакетным договоренностям были «забронированы» за бывшим [TAR]вице-премьером[TAR] Александром Жуковым («Единая Россия») и Иваном Мельниковым (КПРФ).,вице-премьером,PROFESSION,75,89,1
В момент аварии в автобусе находились 44 человека — граждан России.,В момент аварии в автобусе находились 44 человека — [TAR]граждан России[TAR].,граждан России,NATIONALITY,52,66,1
Целями мероприятия являются выявление значимых проектов и персоналий Рунета и определение тенденций его развития.,Целями мероприятия являются выявление значимых проектов и персоналий [TAR]Рунета[TAR] и определение тенденций его развития.,Рунета,ORGANIZATION,69,75,1
"В проекте осуждаются ракетные испытания, проводимые Северной Корее, и напоминается об обещании придерживаться моратории на такие испытания.","В проекте осуждаются ракетные испытания, проводимые [TAR]Северной Корее[TAR], и напоминается об обещании придерживаться моратории на такие испытания.",Северной Корее,COUNTRY,52,66,0
"Стефан планировал обратиться к властям города Кембриджа, где братья Царнаевы проживали последние десять лет, за разрешением похоронить Тамерлана на муниципальном кладбище.","Стефан планировал обратиться к властям города Кембриджа, где братья [TAR]Царнаевы[TAR] проживали последние десять лет, за разрешением похоронить Тамерлана на муниципальном кладбище.",Царнаевы,PERSON,68,76,1
Роман «Мастер и Маргарита» считается величайшим романом русской литературы XX века.,Роман «[TAR]Мастер[TAR] и Маргарита» считается величайшим романом русской литературы XX века.,Мастер,PERSON,7,13,1
